iter	Passed	Remaining
209	733	2759
210	735	2749
211	737	2742
212	740	2734
213	742	2728
214	745	2721
215	748	2717
216	751	2711
217	753	2704
218	757	2700
219	760	2694
220	762	2687
221	765	2682
222	767	2675
223	770	2668
224	773	2663
225	775	2656
226	777	2649
227	780	2643
228	783	2636
229	785	2629
230	788	2623
231	790	2618
232	793	2612
233	796	2606
234	799	2601
235	802	2596
236	804	2590
237	807	2584
238	809	2578
239	812	2573
240	815	2567
241	818	2562
242	820	2556
243	823	2550
244	826	2545
245	828	2539
246	831	2533
247	833	2527
248	836	2522
249	838	2516
250	841	2512
251	844	2507
252	847	2501
253	850	2496
254	852	2491
255	855	2486
256	858	2481
257	861	2476
258	863	2470
259	866	2465
260	868	2459
261	871	2455
262	874	2449
263	876	2444
264	879	2439
265	882	2434
266	884	2427
267	887	2422
268	889	2417
269	892	2412
270	895	2408
271	898	2403
272	900	2398
273	902	2391
274	905	2386
275	907	2381
276	910	2376
277	913	2371
278	915	2366
279	918	2361
280	921	2356
281	923	2351
282	926	2346
283	928	2341
284	931	2336
285	933	2331
286	936	2325
287	938	2321
288	941	2316
289	943	2311
290	946	2306
291	949	2301
292	951	2296
293	954	2292
294	957	2287
295	960	2283
296	962	2279
297	965	2274
298	967	2267
299	969	2262
300	972	2257
301	974	2251
302	976	2247
303	980	2244
304	985	2245
305	988	2240
306	990	2236
307	993	2232
308	995	2226
309	997	2220
310	1000	2216
311	1002	2211
312	1005	2206
313	1007	2202
314	1010	2197
315	1013	2192
316	1015	2187
317	1018	2183
318	1020	2178
319	1023	2174
320	1025	2170
321	1028	2165
322	1031	2162
323	1034	2158
324	1036	2153
325	1039	2148
326	1041	2143
327	1044	2139
328	1046	2135
329	1049	2131
330	1052	2126
331	1054	2122
332	1057	2118
333	1059	2112
334	1062	2108
335	1064	2104
336	1066	2098
337	1069	2094
338	1072	2090
339	1075	2086
340	1077	2082
341	1080	2078
342	1082	2074
343	1085	2070
344	1088	2066
345	1090	2061
346	1092	2056
347	1095	2052
348	1098	2048
349	1101	2044
350	1103	2041
351	1106	2037
352	1109	2033
353	1111	2029
354	1114	2025
355	1117	2020
356	1119	2016
357	1121	2011
358	1124	2008
359	1127	2003
360	1129	1999
361	1132	1996
362	1135	1993
363	1138	1989
364	1141	1985
365	1144	1982
366	1148	1981
367	1152	1978
368	1154	1974
369	1157	1970
370	1160	1966
371	1162	1962
372	1164	1958
373	1167	1954
374	1170	1950
375	1172	1946
376	1175	1943
377	1178	1938
378	1180	1934
379	1183	1931
380	1186	1927
381	1189	1923
382	1192	1920
383	1195	1917
384	1197	1913
385	1200	1909
386	1203	1905
387	1206	1902
388	1208	1898
389	1211	1895
390	1214	1891
391	1216	1887
392	1219	1884
393	1223	1881
394	1226	1877
395	1229	1875
396	1233	1873
397	1236	1871
398	1240	1868
399	1244	1866
400	1247	1862
401	1253	1864
402	1258	1864
403	1265	1867
404	1276	1875
405	1283	1878
406	1292	1883
407	1299	1885
408	1308	1890
409	1311	1886
410	1316	1887
411	1320	1884
412	1323	1881
413	1327	1879
414	1331	1876
415	1334	1873
416	1337	1869
417	1341	1867
418	1344	1864
419	1348	1862
420	1351	1859
421	1354	1855
422	1358	1853
423	1364	1853
424	1372	1856
425	1379	1859
426	1389	1864
427	1394	1863
428	1402	1866
429	1410	1869
430	1417	1871
431	1426	1875
432	1433	1877
433	1439	1876
434	1447	1879
435	1454	1881
436	1462	1883
437	1476	1894
438	1481	1893
439	1489	1896
440	1495	1895
441	1502	1896
442	1511	1899
443	1516	1899
444	1524	1901
445	1532	1903
446	1539	1905
447	1547	1906
448	1555	1908
449	1565	1912
450	1570	1911
451	1580	1915
452	1585	1914
453	1594	1917
454	1601	1918
455	1609	1920
456	1617	1922
457	1622	1920
458	1630	1921
459	1636	1921
460	1641	1919
461	1651	1923
462	1656	1921
463	1666	1924
464	1672	1923
465	1680	1925
466	1687	1925
467	1696	1928
468	1704	1929
469	1713	1932
470	1719	1931
471	1727	1932
472	1735	1933
473	1742	1934
474	1750	1934
475	1759	1937
476	1765	1935
477	1775	1938
478	1781	1937
479	1789	1938
480	1799	1941
481	1804	1939
482	1814	1941
483	1822	1943
484	1831	1945
485	1840	1946
486	1848	1946
487	1854	1946
488	1864	1947
489	1872	1948
490	1880	1949
491	1890	1951
492	1895	1949
493	1904	1950
494	1912	1951
495	1918	1949
496	1927	1950
497	1936	1951
498	1944	1952
499	1951	1951
500	1960	1952
501	1969	1953
502	1977	1953
503	1985	1954
504	1990	1951
505	2001	1954
506	2006	1951
507	2016	1953
508	2025	1954
509	2034	1954
510	2041	1953
511	2047	1951
512	2057	1953
513	2062	1950
514	2075	1954
515	2082	1953
516	2091	1953
517	2098	1952
518	2106	1952
519	2115	1952
520	2122	1951
521	2129	1949
522	2138	1949
523	2146	1949
524	2152	1947
525	2161	1948
526	2177	1954
527	2189	1957
528	2200	1959
529	2208	1958
530	2215	1956
531	2222	1954
532	2230	1954
533	2235	1950
534	2245	1951
535	2254	1951
536	2263	1951
537	2272	1951
538	2279	1949
539	2284	1945
540	2293	1945
541	2302	1945
542	2310	1944
543	2315	1941
544	2324	1940
545	2332	1939
546	2340	1938
547	2345	1934
548	2353	1933
549	2367	1937
550	2376	1936
551	2388	1938
552	2394	1935
553	2403	1934
554	2411	1933
555	2415	1929
556	2428	1931
557	2435	1928
558	2443	1927
559	2451	1926
560	2457	1923
561	2466	1922
562	2475	1921
563	2480	1917
564	2489	1916
565	2497	1915
566	2504	1912
567	2512	1910
568	2521	1909
569	2528	1907
570	2533	1903
571	2542	1902
572	2551	1901
573	2559	1899
574	2568	1898
575	2576	1896
576	2593	1901
577	2606	1903
578	2619	1904
579	2631	1905
580	2640	1903
581	2649	1902
582	2657	1901
583	2669	1901
584	2677	1899
585	2687	1898
586	2692	1894
587	2702	1893
588	2710	1891
589	2718	1889
590	2724	1885
591	2733	1883
592	2741	1881
593	2749	1879
594	2756	1876
595	2764	1874
596	2773	1872
597	2779	1868
598	2789	1867
599	2798	1865
600	2804	1861
601	2813	1860
602	2819	1856
603	2827	1853
604	2831	1848
605	2840	1847
606	2849	1844
607	2856	1841
608	2862	1837
609	2872	1836
610	2879	1833
611	2886	1829
612	2895	1827
613	2902	1824
614	2909	1821
615	2918	1819
616	2923	1814
617	2932	1812
618	2941	1810
619	2948	1807
620	2955	1803
621	2964	1801
622	2973	1799
623	2982	1797
624	2991	1794
625	2995	1789
626	3005	1787
627	3012	1784
628	3017	1779
629	3026	1777
630	3035	1775
631	3041	1770
632	3050	1768
633	3060	1766
634	3069	1764
635	3079	1762
636	3087	1759
637	3096	1756
638	3108	1755
639	3120	1755
640	3126	1750
641	3135	1748
642	3143	1745
643	3152	1742
644	3160	1739
645	3166	1735
646	3176	1732
647	3183	1729
648	3192	1726
649	3200	1723
650	3208	1719
651	3216	1716
652	3221	1711
653	3231	1709
654	3238	1705
655	3246	1702
656	3254	1698
657	3262	1695
658	3269	1691
659	3276	1687
660	3289	1687
661	3297	1683
662	3306	1680
663	3315	1677
664	3322	1673
665	3331	1670
666	3339	1667
667	3345	1662
668	3355	1659
669	3361	1655
670	3370	1652
671	3379	1649
672	3385	1644
673	3394	1641
674	3402	1638
675	3407	1633
676	3416	1630
677	3425	1626
678	3433	1623
679	3442	1619
680	3449	1616
681	3457	1612
682	3464	1607
683	3474	1605
684	3480	1600
685	3489	1597
686	3497	1593
687	3505	1589
688	3514	1586
689	3523	1582
690	3532	1579
691	3542	1576
692	3550	1573
693	3561	1570
694	3570	1566
695	3578	1562
696	3587	1559
697	3596	1556
698	3603	1551
699	3611	1547
700	3620	1544
701	3630	1540
702	3637	1536
703	3646	1533
704	3655	1529
705	3664	1525
706	3670	1520
707	3678	1517
708	3687	1513
709	3695	1509
710	3705	1506
711	3714	1502
712	3723	1498
713	3728	1493
714	3739	1490
715	3747	1486
716	3755	1482
717	3762	1477
718	3772	1474
719	3781	1470
720	3789	1466
721	3797	1462
722	3805	1457
723	3812	1453
724	3821	1449
725	3829	1445
726	3836	1440
727	3845	1436
728	3854	1432
729	3863	1428
730	3870	1424
731	3880	1420
732	3892	1417
733	3899	1413
734	3908	1409
735	3918	1405
736	3926	1401
737	3932	1396
738	3941	1392
739	3950	1387
740	3959	1383
741	3966	1379
742	3971	1373
743	3982	1370
744	3991	1366
745	4001	1362
746	4018	1360
747	4027	1357
748	4043	1355
749	4058	1352
750	4072	1350
751	4085	1347
752	4096	1343
753	4105	1339
754	4113	1334
755	4122	1330
756	4130	1325
757	4138	1321
758	4148	1317
759	4154	1311
760	4164	1308
761	4175	1304
762	4181	1298
763	4190	1294
764	4204	1291
765	4213	1287
766	4222	1282
767	4228	1277
768	4239	1273
769	4247	1268
770	4252	1262
771	4263	1259
772	4272	1254
773	4282	1250
774	4288	1245
775	4299	1241
776	4308	1236
777	4316	1231
778	4325	1227
779	4330	1221
780	4333	1215
781	4336	1208
782	4338	1202
783	4341	1196
784	4344	1189
785	4347	1183
786	4349	1177
787	4352	1170
788	4354	1164
789	4358	1158
790	4360	1152
791	4363	1146
792	4366	1139
793	4369	1133
794	4371	1127
795	4374	1121
796	4376	1114
797	4379	1108
798	4382	1102
799	4384	1096
800	4387	1090
801	4390	1083
802	4392	1077
803	4395	1071
804	4398	1065
805	4401	1059
806	4403	1053
807	4406	1047
808	4409	1041
809	4412	1034
810	4414	1028
811	4417	1022
812	4420	1016
813	4422	1010
814	4425	1004
815	4428	998
816	4431	992
817	4433	986
818	4437	980
819	4439	974
820	4442	968
821	4445	962
822	4447	956
823	4450	950
824	4452	944
825	4457	938
826	4460	932
827	4462	926
828	4465	921
829	4468	915
830	4471	909
831	4474	903
832	4476	897
833	4479	891
834	4482	885
835	4485	879
836	4488	874
837	4490	868
838	4493	862
839	4496	856
840	4498	850
841	4501	844
842	4504	838
843	4506	833
844	4509	827
845	4513	821
846	4516	815
847	4523	810
848	4530	805
849	4537	800
850	4544	795
851	4551	790
852	4558	785
853	4565	780
854	4574	775
855	4579	770
856	4583	764
857	4586	759
858	4589	753
859	4593	747
860	4596	742
861	4599	736
862	4603	730
863	4606	725
864	4609	719
865	4613	713
866	4616	708
867	4619	702
868	4622	696
869	4624	691
870	4627	685
871	4630	679
872	4633	673
873	4635	668
874	4638	662
875	4640	656
876	4643	651
877	4646	645
878	4648	639
879	4651	634
880	4654	628
881	4657	623
882	4660	617
883	4663	611
884	4669	606
885	4671	601
886	4674	595
887	4677	589
888	4680	584
889	4682	578
890	4685	573
891	4688	567
892	4690	562
893	4693	556
894	4695	550
895	4697	545
896	4700	539
897	4703	534
898	4705	528
899	4708	523
900	4711	517
901	4714	512
902	4717	506
903	4720	501
904	4722	495
905	4725	490
906	4728	484
907	4730	479
908	4733	473
909	4736	468
910	4738	462
911	4741	457
912	4744	452
913	4747	446
914	4749	441
915	4752	435
916	4754	430
917	4757	424
918	4759	419
919	4762	414
920	4765	408
921	4767	403
922	4770	397
923	4773	392
924	4775	387
925	4778	381
926	4781	376
927	4783	371
928	4786	365
929	4788	360
930	4791	355
931	4793	349
932	4796	344
933	4798	339
934	4801	333
935	4804	328
936	4806	323
937	4809	317
938	4811	312
939	4814	307
940	4817	302
941	4819	296
942	4821	291
943	4826	286
944	4829	281
945	4831	275
946	4834	270
947	4837	265
948	4839	260
949	4842	254
950	4845	249
951	4848	244
952	4851	239
953	4854	234
954	4857	228
955	4859	223
956	4862	218
957	4865	213
958	4867	208
959	4870	202
960	4873	197
961	4876	192
962	4879	187
963	4881	182
964	4884	177
965	4887	172
966	4889	166
967	4892	161
968	4895	156
969	4897	151
970	4900	146
971	4903	141
972	4906	136
973	4908	131
974	4913	125
975	4915	120
976	4918	115
977	4921	110
978	4924	105
979	4926	100
980	4929	95
981	4932	90
982	4935	85
983	4938	80
984	4940	75
985	4943	70
986	4946	65
987	4949	60
988	4952	55
989	4955	50
990	4958	45
991	4961	40
992	4963	34
993	4966	29
994	4970	24
995	4973	19
996	4976	14
997	4978	9
998	4981	4
999	4984	0
